Name,Classification,Lat,Lng,Services Offered,Service Hours,Ratings,Menu,Price Range
MARINE SCIENCE INSTITUTE LIBRARY (MSI Library),Library,14.65076526,121.0690972,"Reading Area, Computers, Outlets, Wi-Fi",Tue to Fri – 8:00 AM to 6:00 PM; Mon – WFH (Temp loc),,,
COLLEGE OF MEDIA AND COMMUNICATION LIBRARY (CMC Library),Library,14.65697214,121.0645009,"Reading Area, Computers, Outlets, Wi-Fi",Mon to Thu – 8:00 AM to 5:00 PM; Fri – WFH,,,
COLLEGE OF MUSIC LIBRARY,Library,14.65708495,121.0656324,"Reading Area, Computers, Outlets, Wi-Fi, Photocopy",Tue to Fri – 7:00 AM to 6:00 PM,,,
NATIONAL COLLEGE OF PUBLIC ADMINISTRATION AND GOVERNANCE LIBRARY (NCPAG Library),Library,14.65635934,121.0603009,"Reading Area, Computers, Outlets, Wi-Fi, Photocopy",Tue to Fri – 8:30 AM to 5:30 PM; Sat – 8:00 AM to 5:00 PM; Mon – WFH,,,
COLLEGE OF SCIENCE LIBRARY (CS Library),Library,14.64947242,121.0693227,"Reading Area, Computers, Outlets, Wi-Fi",Tue to Fri – 7:00 AM to 6:00 PM; Mon – WFH,,,
INSTITUTE OF BIOLOGY LIBRARY,Library,14.65077951,121.0706897,"Reading Area, Wi-Fi, Computers, Outlets, Photocopy",Mon to Fri – 8:00 AM to 5:00PM,,,
INSTITUTE OF CHEMISTRY LIBRARY,Library,14.6500815,121.0737184,"Reading Area, Wi-Fi, Outlets, Photocopy",Mon to Fri – 7:00 AM to 4:00 PM,,,
INSTITUTE OF ENVIRONMENTAL SCIENCE AND METEOROLOGY LIBRARY (IESM Library),Library,14.648244,121.0702358,"Reading Area, Wi-Fi, Outlets",MonWed & Fri – 1:00 PM to 5:00 PM; Tue & Thu – 9:00 AM to 5:00PM,,,
INSTITUTE OF MATHEMATICS LIBRARY,Library,14.64878884,121.072866,"Reading Area, Wi-Fi, Outlets, Photocopy",Mon to Fri – 8:00 AM to 5:00 PM,,,
MATERIALS SCIENCE AND ENGINEERING PROGRAM LIBRARY,Library,14.6482418,121.0680341,"Reading Area, Wi-Fi, Computers, Outlets",Tue & Thu – 1:00 PM to 5:00 PM  (temp closed),,,
NATIONAL INSTITUTE OF GEOLOGICAL SCIENCES LIBRARY (NIGS Library),Library,14.64827243,121.0694944,"Reading Area, Wi-Fi",Mon to Fri – 8:00 AM to 5:00 PM,,,
NATIONAL INSTITUTE OF MOLECULAR BIOLOGY AND BIOTECHNOLOGY LIBRARY (NIMBB Library),Library,14.65067752,121.0716842,"Reading Area, Wi-Fi, Outlets, Photocopy",Mon – 7:00 AM to 4:00 PM; Tue to Fri – 8:00 AM to 5:00PM,,,
NATIONAL INSTITUTE OF PHYSICS LIBRARY (NIP Library),Library,14.6492238,121.0735159,"Reading Area, Wi-Fi, Photocopy, Outlets",Mon to Fri – 9:00 AM to 6:00 PM,,,
NATURAL SCIENCES RESEARCH INSTITUTE LIBRARY (NSRI Library),Library,14.652291,121.069014,"Reading Area, Wi-Fi, Computers, Outlets",Mon to Wed – 8:00 AM to 5:00 PM,,,
